gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall,homeWin,homeTeamLastWin,awayTeamLastWin,awayTravel,homeTravel,homeTeamChanges,awayTeamChanges,homeGameDifference,awayGameDifference,homeTeamImportanceDifference,awayTeamImportanceDifference,homeTeamImportanceLastGame,awayTeamImportanceLastGame,homeTeamImportanceLastFiveGames,awayTeamImportanceLastFiveGames,homeTeamImportanceSeasonAverage,awayTeamImportanceSeasonAverage,homeLadderPosition,awayLadderPosition,homeTeamPointsFor,homeTeamPointsAgainst,homeTeamPercentage,awayTeamPointsFor,awayTeamPointsAgainst,awayTeamPercentage,homeCurrentLadderPosition,awayCurrentLadderPosition,homeBreak,awayBreak
2014R608,2014,6,2014-04-27,M.C.G.,3:20 PM,52990,Richmond,52,Hawthorn,118,0.0,0,1,0,0,0,1,1,89,-182,34.45833333333333,0.059523809523803,60.54545454545455,88.72727272727273,69.28333333333333,80.03636363636365,70.5126151945398,79.18502048220334,5,1,443,446,99.32735426,601,411,146.2287105,11,3,10,6
2014R609,2014,6,2014-04-27,Adelaide Oval,4:10 PM,47007,Port Adelaide,107,Geelong,67,0.0,2,1,1,2,0,1,2,28,203,14.0,17.60833333333334,69.9090909090909,78.36363636363636,73.07272727272726,75.40037878787881,75.74251470542546,75.55752073756138,7,2,566,359,157.6601671,512,344,148.8372093,2,1,8,6
2014R701,2014,7,2014-05-02,M.C.G.,7:50 PM,68251,Carlton,70,Collingwood,104,0.0,0,1,1,0,0,2,4,228,396,8.863909774436081,-0.8463717042761161,64.29545454545455,64.47727272727273,69.78636363636365,70.52272727272727,70.30234225269055,73.76503416809057,8,6,499,617,80.87520259,497,462,107.5757576,16,4,6,7
2014R702,2014,7,2014-05-03,M.C.G.,1:45 PM,32924,Hawthorn,175,St Kilda,30,2.6,2,1,0,0,0,3,5,41,-201,23.898473748473755,15.370824175824168,84.11363636363636,62.81818181818182,76.72954545454546,66.43522727272729,76.52439370055468,67.38875730392758,1,16,719,463,155.2915767,431,505,85.34653465,2,11,6,8
2014R703,2014,7,2014-05-03,Manuka Oval,2:10 PM,6549,Greater Western Sydney,97,Port Adelaide,132,0.0,0,0,1,2,1,5,3,93,-42,-25.964506743256727,20.523856209150324,69.56818181818181,64.9090909090909,77.61818181818181,69.36818181818184,74.8122407745763,73.02120902061709,18,7,515,590,87.28813559,673,426,157.9812207,14,1,7,6
2014R704,2014,7,2014-05-03,Adelaide Oval,4:10 PM,44216,Adelaide,67,Melbourne,70,11.0,0,1,0,2,0,0,0,0,0,0.0,0.0,75.4090909090909,67.56818181818181,70.13977272727271,66.31363636363636,72.87398196918319,69.15450650863505,11,17,590,585,100.8547009,325,483,67.28778468,10,17,6,7
2014R705,2014,7,2014-05-03,Docklands,7:40 PM,33289,Essendon,73,Western Bulldogs,65,2.6,2,0,0,0,0,2,4,-266,25,-24.753968253968253,-16.501388888888883,69.72727272727273,75.1590909090909,76.97500000000001,72.07272727272726,78.87076813531483,73.0541815210933,9,15,508,484,104.9586777,507,609,83.25123153,12,15,8,6
2014R706,2014,7,2014-05-03,Gabba,7:40 PM,17953,Brisbane Lions,44,Sydney,123,13.8,0,1,1,2,0,2,2,236,297,22.799264705882344,17.473214285714285,59.90909090909091,74.5,67.37272727272727,76.45909090909092,65.53022625789478,75.79070874623314,12,4,411,690,59.56521739,479,463,103.4557235,18,9,8,7
2014R707,2014,7,2014-05-04,Docklands,1:10 PM,19819,North Melbourne,77,Gold Coast,120,7.0,0,1,1,0,0,1,3,-33,14,-8.34210526315789,-41.854700854700845,65.72727272727273,72.27272727272727,71.01136363636363,73.69090909090909,72.06832088297838,73.68694930858773,10,14,463,445,104.0449438,509,537,94.7858473,5,6,9,8
2014R708,2014,7,2014-05-04,M.C.G.,3:20 PM,34377,Geelong,81,Richmond,76,7.0,2,0,0,0,1,2,4,-53,-327,-16.751456876456878,-14.691098699095022,74.1590909090909,67.27272727272727,76.38636363636365,71.62727272727273,76.48047896190576,73.07778285955528,2,5,579,451,128.3813747,495,564,87.76595745,3,13,7,7
2014R709,2014,7,2014-05-04,Subiaco,2:40 PM,40476,West Coast,54,Fremantle,73,0.0,0,0,0,0,0,3,2,-295,-36,8.404250841750823,-27.17485119047619,66.88636363636364,72.36363636363636,76.54393939393938,73.11818181818181,73.07264316575551,75.70729363515743,13,3,517,426,121.3615023,531,448,118.5267857,7,8,8,9
2014R801,2014,8,2014-05-09,Stadium Australia,7:50 PM,34506,Sydney,107,Hawthorn,88,0.0,2,1,1,2,0,2,4,-217,557,-25.282352941176452,6.653066378066377,77.72727272727273,85.1590909090909,79.34545454545456,76.16818181818182,78.74566923659415,76.57846463079717,4,1,602,507,118.7376726,894,493,181.3387424,7,1,6,6
2014R802,2014,8,2014-05-10,Adelaide Oval,1:10 PM,38234,Port Adelaide,94,Fremantle,76,17.4,2,1,1,3,0,4,2,-126,202,7.496006944444446,-19.244791666666664,64.56818181818181,72.97727272727273,67.2409090909091,75.24545454545454,71.72208218660424,78.02878728354472,7,3,805,523,153.9196941,604,502,120.3187251,2,6,7,6
2014R803,2014,8,2014-05-10,Gabba,4:40 PM,26522,Brisbane Lions,57,Essendon,65,0.0,0,0,1,3,0,4,3,-201,192,-21.83611111111111,25.60025062656642,63.13636363636363,65.68181818181819,71.625,73.05909090909091,69.24912945241891,75.16700199954845,12,9,455,813,55.96555966,581,549,105.8287796,18,10,7,7
2014R804,2014,8,2014-05-10,M.C.G.,7:40 PM,36326,Melbourne,83,Western Bulldogs,99,12.4,0,1,0,0,0,1,3,-95,-227,-14.666666666666655,13.282873851294909,67.02272727272727,72.43181818181819,66.92272727272729,71.01969696969697,70.05337158648885,71.17375223245966,17,15,395,550,71.81818182,572,682,83.87096774,17,15,7,7
2014R805,2014,8,2014-05-11,Subiaco,2:40 PM,29391,West Coast,188,Greater Western Sydney,77,0.6,2,0,0,4,0,3,4,-205,-114,-22.50126262626264,23.621664738770008,67.5,68.52272727272727,79.37727272727273,73.51666666666667,75.74692805162128,70.39770344894184,13,18,571,499,114.4288577,612,722,84.76454294,9,14,7,8
2014R806,2014,8,2014-05-12,Docklands,7:20 PM,26708,St Kilda,69,Carlton,101,0.0,0,0,0,0,0,4,3,154,86,0.4557092213342244,10.946428571428577,63.34090909090909,60.88636363636363,67.32272727272728,67.04090909090908,69.35297565488426,68.67544407513009,16,8,461,680,67.79411765,569,721,78.91816921,12,16,9,10
2014R901,2014,9,2014-05-15,Adelaide Oval,7:20 PM,50051,Adelaide,76,Collingwood,55,0.0,2,0,1,2,0,5,3,-115,-379,-2.5191254578754467,3.454064454064458,74.20454545454545,57.25,71.33181818181818,67.39090909090909,73.38569604737368,73.47342174509357,11,6,733,710,103.2394366,656,608,107.8947368,11,5,12,13
2014R902,2014,9,2014-05-16,Docklands,7:50 PM,41098,Essendon,64,Sydney,114,0.0,0,1,1,2,0,2,1,133,121,9.351934523809518,65.95238095238093,68.56818181818181,72.77272727272727,73.70454545454544,75.70454545454547,76.17316416491146,75.86183777102983,9,4,646,606,106.6006601,709,595,119.1596639,9,4,6,7
2014R903,2014,9,2014-05-17,M.C.G.,1:40 PM,56910,Richmond,74,Melbourne,91,0.0,0,0,0,0,0,3,3,173,254,2.852083333333333,9.774999999999991,70.04545454545455,64.72727272727273,71.9409090909091,66.03636363636365,73.21077713888279,68.70079174566403,5,17,645,736,87.63586957,478,649,73.65177196,15,17,13,7
2014R904,2014,9,2014-05-17,Docklands,4:40 PM,21152,North Melbourne,125,Brisbane Lions,38,0.0,2,0,0,0,0,4,4,-73,352,-4.568497474747474,29.475233100233105,66.52272727272727,53.97727272727273,73.39280303030303,63.57386363636365,73.18968617333114,63.494463340315434,10,12,665,603,110.2819237,512,878,58.3143508,10,18,13,7
2014R905,2014,9,2014-05-17,Subiaco,5:40 PM,38565,Fremantle,96,Geelong,64,0.0,2,0,1,3,0,2,2,-51,-36,15.48002819548872,15.032249742002064,75.77272727272727,73.8409090909091,74.24090909090908,75.4409090909091,76.53474443405752,75.0764331729502,3,2,680,596,114.0939597,724,623,116.211878,8,3,7,13
