gameId,team,year,round,playerId,displayName,gameNumber,Disposals,Kicks,Marks,Handballs,Goals,Behinds,Hit Outs,Tackles,Rebounds,Inside 50s,Clearances,Clangers,Frees,Frees Against,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists,% Played,Subs
2015R509,Adelaide,2015,R5,2011843284,Talia. Daniel,81,6,4,1,2,0,0,0,2,0,3,0,1,2,0,0,5,1,0,0,5,0,0,100,-
2015R509,Adelaide,2015,R5,2001849962,Thompson. Scott,267,27,11,2,16,2,0,0,6,1,4,9,3,1,2,0,18,11,0,0,4,0,0,82,-
2015R509,Adelaide,2015,R5,2009877055,Walker. Taylor,89,13,9,4,4,2,2,0,3,0,1,0,2,2,1,0,5,8,0,2,0,0,0,96,-
2015R509,Adelaide,2015,R5,2011872696,Wright. Matthew,83,6,1,0,5,0,0,0,2,2,0,2,3,0,0,0,4,2,0,0,1,0,0,22,On
2015R509,Adelaide,2015,R5,20051181200,van Berlo. Nathan,187,14,10,3,4,0,1,0,4,3,2,1,4,0,1,0,4,9,0,0,0,0,0,85,-
2015R605,Adelaide,2015,R6,2005667052,Betts. Eddie,212,12,9,4,3,5,0,0,2,0,4,1,1,0,1,1,5,7,2,4,1,0,2,90,-
2015R605,Adelaide,2015,R6,2012662083,Brown. Luke,52,16,10,4,6,0,0,0,1,1,2,0,0,0,0,0,1,15,0,0,3,0,0,80,-
2015R605,Adelaide,2015,R6,2014678070,Cameron. Charlie,12,15,10,7,5,1,0,0,4,0,4,1,3,0,1,0,6,8,0,3,1,0,0,86,-
2015R605,Adelaide,2015,R6,2009675555,Cheney. Kyle,45,19,15,9,4,0,0,0,6,5,0,0,1,3,0,0,5,13,1,0,3,0,0,96,-
2015R605,Adelaide,2015,R6,2014678470,Crouch. Matt,9,13,8,5,5,0,1,0,2,1,2,4,2,0,1,0,4,9,0,0,0,0,0,32,On
2015R605,Adelaide,2015,R6,2008681760,Dangerfield. Patrick,137,17,10,4,7,2,1,1,5,0,3,2,2,1,1,0,7,10,0,2,1,0,1,83,-
2015R605,Adelaide,2015,R6,2013715229,Grigg. Mitch,16,14,9,8,5,1,0,0,4,0,3,0,0,0,0,0,3,12,1,2,3,2,1,70,-
2015R605,Adelaide,2015,R6,2009748959,Jacobs. Sam,110,21,10,6,11,1,0,28,1,1,4,5,1,0,0,0,8,15,0,0,5,0,1,91,-
2015R605,Adelaide,2015,R6,2010744089,Jaensch. Matthew,73,26,20,12,6,0,1,0,4,4,1,1,5,1,1,0,6,19,1,0,1,3,0,88,-
2015R605,Adelaide,2015,R6,2015754078,Kelly. Jake,4,19,15,12,4,0,1,0,4,1,0,1,1,1,1,0,2,17,0,0,2,0,0,75,-
2015R605,Adelaide,2015,R6,2013762245,Laird. Rory,40,29,13,9,16,0,0,0,2,4,0,1,5,2,3,2,13,17,3,0,4,2,0,82,-
2015R605,Adelaide,2015,R6,2015761111,Lever. Jake,1,17,12,10,5,0,0,0,3,0,0,0,1,2,0,0,4,14,0,0,5,0,0,96,-
2015R605,Adelaide,2015,R6,2010763943,Lynch. Tom,43,16,13,9,3,2,2,1,5,0,4,0,0,1,0,0,2,14,1,2,2,0,3,87,-
2015R605,Adelaide,2015,R6,2012767797,Lyons. Jarryd,25,11,5,1,6,0,0,0,2,0,5,2,1,0,1,0,5,6,0,0,0,0,1,83,-
2015R605,Adelaide,2015,R6,2008774238,Mackay. David,130,16,9,3,7,0,0,0,5,2,2,1,1,0,0,0,7,8,0,1,1,0,0,88,-
2015R605,Adelaide,2015,R6,2009835778,Sloane. Rory,106,17,8,6,9,1,0,0,1,0,2,0,2,0,1,0,6,11,0,0,0,0,1,51,Off
2015R605,Adelaide,2015,R6,2011832909,Smith. Brodie,82,13,9,6,4,0,0,0,1,0,5,2,3,0,2,0,6,7,1,0,2,1,3,84,-
2015R605,Adelaide,2015,R6,2011843284,Talia. Daniel,82,14,11,7,3,0,0,0,1,2,1,0,2,0,1,0,3,11,0,0,2,0,0,97,-
2015R605,Adelaide,2015,R6,2001849962,Thompson. Scott,268,16,8,1,8,1,0,0,4,1,2,5,1,3,1,0,12,7,0,0,1,0,0,77,-
2015R605,Adelaide,2015,R6,2009877055,Walker. Taylor,90,17,14,12,3,4,2,0,1,0,6,0,8,0,3,3,8,9,4,7,1,0,1,95,-
2015R605,Adelaide,2015,R6,2011872696,Wright. Matthew,84,28,16,4,12,0,0,0,2,2,8,4,5,2,1,0,7,19,0,0,2,0,0,86,-
2015R605,Adelaide,2015,R6,20051181200,van Berlo. Nathan,188,16,12,7,4,0,1,0,2,0,2,0,3,0,1,0,3,13,1,0,0,0,1,84,-
2015R702,Adelaide,2015,R7,2005667052,Betts. Eddie,213,17,13,6,4,6,2,0,5,0,5,1,1,0,0,3,9,9,2,4,1,0,1,94,-
2015R702,Adelaide,2015,R7,2012662083,Brown. Luke,53,14,11,6,3,0,0,0,1,2,1,0,5,1,2,0,4,11,0,0,1,0,0,90,-
2015R702,Adelaide,2015,R7,2014678070,Cameron. Charlie,13,16,12,5,4,3,4,0,1,0,2,1,3,2,0,0,4,13,0,2,0,0,0,83,-
2015R702,Adelaide,2015,R7,2009675555,Cheney. Kyle,46,11,7,5,4,0,0,0,2,4,0,2,1,0,1,0,3,8,1,0,1,0,0,94,-
2015R702,Adelaide,2015,R7,2014678470,Crouch. Matt,10,27,7,3,20,0,0,0,4,1,3,5,5,1,1,0,10,16,0,0,0,0,1,73,-
2015R702,Adelaide,2015,R7,2008681760,Dangerfield. Patrick,138,24,15,3,9,1,0,5,10,2,5,7,3,2,1,0,13,12,1,0,1,0,0,88,-
2015R702,Adelaide,2015,R7,2013715229,Grigg. Mitch,17,19,12,3,7,2,1,0,4,1,5,0,1,1,0,0,4,16,0,0,1,0,1,81,-
2015R702,Adelaide,2015,R7,2010728130,Henderson. Ricky,70,23,15,5,8,0,0,0,2,4,3,5,4,0,1,0,5,16,0,0,2,1,0,83,-
2015R702,Adelaide,2015,R7,2009748959,Jacobs. Sam,111,23,10,4,13,0,0,40,2,2,3,2,2,2,2,0,9,13,0,0,2,0,0,92,-
2015R702,Adelaide,2015,R7,2010744089,Jaensch. Matthew,74,18,11,6,7,0,0,0,0,5,0,0,1,0,0,0,5,11,2,0,2,1,0,50,-
2015R702,Adelaide,2015,R7,2015754078,Kelly. Jake,5,22,13,8,9,0,0,0,4,3,1,0,2,2,1,0,9,13,1,0,1,0,0,91,-
2015R702,Adelaide,2015,R7,2013762245,Laird. Rory,41,26,10,10,16,0,0,0,3,2,0,2,4,1,2,0,7,17,2,0,2,0,0,79,-
2015R702,Adelaide,2015,R7,2015761111,Lever. Jake,2,15,9,4,6,0,0,0,1,3,0,0,3,0,1,0,3,12,0,0,5,0,0,96,-
2015R702,Adelaide,2015,R7,2010763943,Lynch. Tom,44,18,13,9,5,3,1,1,0,1,2,0,4,1,1,0,3,15,0,4,0,1,1,89,-
2015R702,Adelaide,2015,R7,2012767797,Lyons. Jarryd,26,15,10,4,5,0,0,0,2,0,3,3,2,0,0,0,5,10,0,0,3,0,0,56,On
2015R702,Adelaide,2015,R7,2008774238,Mackay. David,131,24,11,2,13,0,0,0,3,2,2,1,1,0,0,0,11,13,0,0,0,2,0,84,-
2015R702,Adelaide,2015,R7,2011832909,Smith. Brodie,83,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,18,Off
2015R702,Adelaide,2015,R7,2011843284,Talia. Daniel,83,18,12,6,6,0,0,0,4,2,1,1,2,0,0,0,5,13,0,0,1,0,0,98,-
2015R702,Adelaide,2015,R7,2001849962,Thompson. Scott,269,35,11,7,24,0,0,0,5,3,2,9,3,1,2,2,15,20,0,0,1,0,1,88,-
2015R702,Adelaide,2015,R7,2009877055,Walker. Taylor,91,18,9,7,9,3,0,0,0,0,5,0,5,1,2,0,8,11,0,3,1,0,3,96,-
2015R702,Adelaide,2015,R7,2011872696,Wright. Matthew,85,15,7,3,8,0,0,0,2,0,6,1,4,1,2,0,5,11,0,1,0,2,2,87,-
2015R702,Adelaide,2015,R7,20051181200,van Berlo. Nathan,189,16,7,2,9,0,1,0,6,4,3,2,3,0,1,0,6,10,1,0,2,0,1,90,-
2015R803,Adelaide,2015,R8,2005667052,Betts. Eddie,214,12,12,3,0,3,1,0,2,0,4,4,4,3,2,0,5,7,0,2,0,0,1,90,-
2015R803,Adelaide,2015,R8,2012662083,Brown. Luke,54,11,7,2,4,0,0,0,1,5,0,2,0,0,0,0,2,6,0,0,3,0,0,79,-
2015R803,Adelaide,2015,R8,2014678070,Cameron. Charlie,14,6,3,3,3,0,1,0,2,0,1,0,3,1,1,0,3,3,0,2,0,1,1,90,-
2015R803,Adelaide,2015,R8,2009675555,Cheney. Kyle,47,13,9,4,4,0,0,0,2,4,1,0,0,1,0,0,5,9,1,0,4,1,0,100,-
2015R803,Adelaide,2015,R8,2014678470,Crouch. Matt,11,24,6,3,18,0,1,0,6,1,0,6,0,0,0,0,11,13,1,0,0,0,0,74,-
2015R803,Adelaide,2015,R8,2008681760,Dangerfield. Patrick,139,27,11,6,16,1,0,0,5,1,3,8,0,1,0,0,15,12,3,0,0,0,0,86,-
2015R803,Adelaide,2015,R8,2014697406,Ellis-Yolmen. Cam,7,14,7,0,7,0,2,2,4,0,2,4,1,1,0,0,8,5,0,0,0,0,0,79,-
