year,round,displayName,team,score
2017,2,oliver wines,Port Adelaide,145
2017,2,luke shuey,West Coast,141
2017,2,patrick dangerfield,Geelong,140
2017,2,marcus bontempelli,Western Bulldogs,140
2017,2,clayton oliver,Melbourne,139
2017,2,toby greene,Greater Western Sydney,138
2017,2,brodie grundy,Collingwood,135
2017,2,trent cotchin,Richmond,135
2017,2,christian salem,Melbourne,134
2017,2,dylan shiel,Greater Western Sydney,132
2017,2,jack gunston,Hawthorn,131
2017,2,marc murphy,Carlton,130
2017,2,shaun higgins,North Melbourne,130
2017,2,lachie neale,Fremantle,129
2017,2,joel selwood,Geelong,128
2017,2,stefan martin,Brisbane Lions,126
2017,2,toby nankervis,Richmond,124
2017,2,sam docherty,Carlton,124
2017,2,robbie tarrant,North Melbourne,124
2017,2,brad ebert,Port Adelaide,121
2017,2,dayne beams,Brisbane Lions,120
2017,2,joshua kelly,Greater Western Sydney,120
2017,2,scott pendlebury,Collingwood,120
2017,2,will hoskin-elliott,Collingwood,120
2017,2,dustin martin,Richmond,118
2017,2,tom mitchell,Hawthorn,118
2017,2,tom rockliff,Brisbane Lions,118
2017,2,nathan fyfe,Fremantle,117
2017,2,sam reid,Sydney,115
2017,2,jake lloyd,Sydney,114
2017,2,orazio fantasia,Essendon,113
2017,2,jeff garlett,Melbourne,113
2017,2,matthew wright,Carlton,112
2017,2,zachary merrett,Essendon,112
2017,2,dayne zorko,Brisbane Lions,112
2017,2,taylor adams,Collingwood,111
2017,2,braydon preuss,North Melbourne,111
2017,2,max gawn,Melbourne,111
2017,2,sam mitchell,West Coast,111
2017,2,liam picken,Western Bulldogs,110
2017,2,matthew priddis,West Coast,110
2017,2,patrick cripps,Carlton,109
2017,2,sebastian ross,St Kilda,109
2017,2,adam treloar,Collingwood,108
2017,2,dyson heppell,Essendon,108
2017,2,travis cloke,Western Bulldogs,108
2017,2,andy otten,Adelaide,108
2017,2,sam jacobs,Adelaide,108
2017,2,charlie dixon,Port Adelaide,108
2017,2,jeremy cameron,Greater Western Sydney,108
2017,2,bachar houli,Richmond,107
2017,2,ryan lester,Brisbane Lions,107
2017,2,callan ward,Greater Western Sydney,106
2017,2,james harmes,Melbourne,105
2017,2,dylan roberton,St Kilda,105
2017,2,ryan burton,Hawthorn,104
2017,2,lin jong,Western Bulldogs,103
2017,2,lance franklin,Sydney,103
2017,2,sam gibson,North Melbourne,103
2017,2,edward curnow,Carlton,103
2017,2,jarryd lyons,Gold Coast,102
2017,2,dom tyson,Melbourne,102
2017,2,elliot yeo,West Coast,102
2017,2,david zaharakis,Essendon,101
2017,2,nathan jones,Melbourne,100
2017,2,luke dahlhaus,Western Bulldogs,100
2017,2,jobe watson,Essendon,100
2017,2,jarrod witts,Gold Coast,100
2017,2,tom lynch,Adelaide,100
2017,2,andrew mackie,Geelong,99
2017,2,mitchell duncan,Geelong,99
2017,2,alex rance,Richmond,99
2017,2,tom hickey,St Kilda,98
2017,2,ben cunnington,North Melbourne,98
2017,2,travis colyer,Essendon,98
2017,2,jackson macrae,Western Bulldogs,98
2017,2,devon smith,Greater Western Sydney,98
2017,2,shane mumford,Greater Western Sydney,97
2017,2,anthony mcdonald-tipungwuti,Essendon,97
2017,2,shane biggs,Western Bulldogs,96
2017,2,sam gray,Port Adelaide,96
2017,2,travis boak,Port Adelaide,95
2017,2,shane edwards,Richmond,95
2017,2,jack watts,Melbourne,94
2017,2,daniel menzel,Geelong,94
2017,2,michael hurley,Essendon,94
2017,2,paul puopolo,Hawthorn,94
2017,2,brendon goddard,Essendon,94
2017,2,jeremy mcgovern,West Coast,93
2017,2,thomas liberatore,Western Bulldogs,93
2017,2,shaun mckernan,Essendon,92
2017,2,josh caddy,Richmond,92
2017,2,david mundy,Fremantle,92
2017,2,andrew gaff,West Coast,92
2017,2,steve johnson,Greater Western Sydney,91
2017,2,taylor walker,Adelaide,91
2017,2,matthew suckling,Western Bulldogs,90
2017,2,tom mcdonald,Melbourne,90
2017,2,adam kennedy,Greater Western Sydney,90
2017,2,marcus adams,Western Bulldogs,90
2017,2,marley williams,North Melbourne,90
2017,2,eddie betts,Adelaide,90
2017,2,sam powell-pepper,Port Adelaide,90
2017,2,jeremy howe,Collingwood,89
2017,2,lee spurr,Fremantle,89
2017,2,jack lonie,St Kilda,89
2017,2,jaeger omeara,Hawthorn,89
2017,2,josh kennedy,Sydney,89
2017,2,mitch mcgovern,Adelaide,89
2017,2,luke dunstan,St Kilda,88
2017,2,josh hill,West Coast,88
2017,2,trent dumont,North Melbourne,88
2017,2,david swallow,Gold Coast,88
2017,2,charlie cameron,Adelaide,87
2017,2,billy stretch,Melbourne,87
2017,2,majak daw,North Melbourne,87
2017,2,jamie macmillan,North Melbourne,87
2017,2,michael barlow,Gold Coast,87
2017,2,jarman impey,Port Adelaide,86
2017,2,jared polec,Port Adelaide,86
2017,2,matthew broadbent,Port Adelaide,85
2017,2,ben brown,North Melbourne,85
2017,2,jayden short,Richmond,84
2017,2,william langford,Hawthorn,84
2017,2,bradley hill,Fremantle,84
2017,2,tom barrass,West Coast,84
2017,2,zachary williams,Greater Western Sydney,84
2017,2,rory lobb,Greater Western Sydney,84
2017,2,sam naismith,Sydney,83
2017,2,jason johannisen,Western Bulldogs,83
2017,2,adam saad,Gold Coast,83
2017,2,tom hawkins,Geelong,83
2017,2,steven motlop,Geelong,83
2017,2,sam mayes,Brisbane Lions,83
2017,2,shaun atley,North Melbourne,83
2017,2,chad wingard,Port Adelaide,83
2017,2,caleb marchbank,Carlton,82
2017,2,josh kennedy,West Coast,82
2017,2,will hayward,Sydney,82
2017,2,grant birchall,Hawthorn,82
2017,2,jarryd roughead,Hawthorn,82
2017,2,robert murphy,Western Bulldogs,81
2017,2,harris andrews,Brisbane Lions,81
2017,2,dan houston,Port Adelaide,81
2017,2,brodie smith,Adelaide,81
2017,2,mitch robinson,Brisbane Lions,81
2017,2,jake stringer,Western Bulldogs,81
2017,2,lachlan plowman,Carlton,80
2017,2,rory thompson,Gold Coast,80
2017,2,neville jetta,Melbourne,80
2017,2,christian petracca,Melbourne,80
2017,2,ben howlett,Essendon,80
2017,2,touk miller,Gold Coast,80
2017,2,matthew rosa,Gold Coast,80
2017,2,ricky henderson,Hawthorn,79
2017,2,sam gilbert,St Kilda,79
2017,2,luke parker,Sydney,79
2017,2,nathan vardy,West Coast,79
2017,2,jamie cripps,West Coast,79
2017,2,josh smith,Collingwood,79
2017,2,zach tuohy,Geelong,79
2017,2,luke breust,Hawthorn,79
2017,2,george horlin-smith,Geelong,78
2017,2,shannon hurn,West Coast,78
2017,2,tyson goldsack,Collingwood,78
2017,2,daniel talia,Adelaide,78
2017,2,joe daniher,Essendon,78
2017,2,jordan lewis,Melbourne,78
2017,2,aaron young,Port Adelaide,78
2017,2,josh bruce,St Kilda,78
2017,2,stephen hill,Fremantle,77
2017,2,tim membrey,St Kilda,77
2017,2,karl amon,Port Adelaide,77
2017,2,jack martin,Gold Coast,77
2017,2,leigh montagna,St Kilda,77
2017,2,luke hodge,Hawthorn,77
2017,2,ryan griffen,Greater Western Sydney,77
2017,2,tom cutler,Brisbane Lions,77
2017,2,bradley sheppard,West Coast,76
2017,2,dion prestia,Richmond,76
2017,2,cyril rioli,Hawthorn,76
2017,2,rory laird,Adelaide,76
2017,2,matt crouch,Adelaide,76
2017,2,danyle pearce,Fremantle,76
2017,2,brett eddy,Port Adelaide,76
2017,2,steele sidebottom,Collingwood,75
2017,2,tim taranto,Greater Western Sydney,75
2017,2,thomas boyd,Western Bulldogs,75
2017,2,patrick ryder,Port Adelaide,75
2017,2,lachlan hunter,Western Bulldogs,74
2017,2,chris masten,West Coast,74
2017,2,jack riewoldt,Richmond,73
2017,2,lewis taylor,Brisbane Lions,73
2017,2,mark blicavs,Geelong,73
2017,2,gary ablett,Gold Coast,73
2017,2,nic newman,Sydney,73
2017,2,kade kolodjashnij,Gold Coast,73
2017,2,easton wood,Western Bulldogs,73
2017,2,steven may,Gold Coast,72
2017,2,david mackay,Adelaide,72
2017,2,ben lennon,Richmond,72
2017,2,jack ziebell,North Melbourne,72
2017,2,shaun burgoyne,Hawthorn,72
2017,2,brandon ellis,Richmond,71
2017,2,aaron sandilands,Fremantle,71
2017,2,nathan wilson,Greater Western Sydney,71
2017,2,matthew kreuzer,Carlton,71
2017,2,daniel hannebery,Sydney,71
2017,2,jeremy laidler,Sydney,71
2017,2,reece conca,Richmond,71
2017,2,kayne turner,North Melbourne,71
2017,2,tom phillips,Collingwood,70
2017,2,thomas jonas,Port Adelaide,70
2017,2,lindsay thomas,North Melbourne,70
2017,2,ben reid,Collingwood,70
2017,2,mark hutchings,West Coast,69
2017,2,shaun grigg,Richmond,69
2017,2,cale hooker,Essendon,68
2017,2,cameron sutcliffe,Fremantle,68
2017,2,sharrod wellingham,West Coast,68
2017,2,henry schade,Collingwood,68
2017,2,rory atkins,Adelaide,68
2017,2,garrick ibbotson,Fremantle,67
2017,2,jack billings,St Kilda,67
2017,2,luke mcdonald,North Melbourne,67
2017,2,jimmy webster,St Kilda,67
2017,2,peter wright,Gold Coast,67
2017,2,samuel reid,Greater Western Sydney,67
2017,2,jonathan giles,West Coast,67
2017,2,kieren jack,Sydney,67
2017,2,jesse hogan,Melbourne,67
2017,2,benjamin stratton,Hawthorn,66
2017,2,tom campbell,Western Bulldogs,66
2017,2,jack leslie,Gold Coast,66
2017,2,kyle hartigan,Adelaide,66
2017,2,lachlan hansen,North Melbourne,66
2017,2,lachlan weller,Fremantle,66
2017,2,lachlan henderson,Geelong,65
2017,2,rhys stanley,Geelong,65
2017,2,daniel butler,Richmond,65
2017,2,christopher mayne,Collingwood,65
2017,2,jack darling,West Coast,65
2017,2,dale thomas,Carlton,65
2017,2,jack steele,St Kilda,65
2017,2,ben ainsworth,Gold Coast,64
2017,2,jack viney,Melbourne,64
2017,2,jayden hunt,Melbourne,64
2017,2,darcy parish,Essendon,64
2017,2,james aish,Collingwood,64
2017,2,darcy lang,Geelong,64
2017,2,curtly hampton,Adelaide,64
2017,2,michael hartley,Essendon,63
2017,2,timothy broomhead,Collingwood,63
2017,2,jesse joyce,Gold Coast,63
2017,2,jacob hopper,Greater Western Sydney,63
2017,2,jack steven,St Kilda,63
2017,2,jackson thurlow,Geelong,62
2017,2,maverick weller,St Kilda,62
2017,2,michael walters,Fremantle,62
2017,2,fletcher roberts,Western Bulldogs,62
2017,2,liam shiels,Hawthorn,62
2017,2,blake acres,St Kilda,61
2017,2,jade gresham,St Kilda,61
2017,2,adam tomlinson,Greater Western Sydney,61
2017,2,riley knight,Adelaide,61
2017,2,ben mcevoy,Hawthorn,61
2017,2,caleb daniel,Western Bulldogs,61
2017,2,george hewett,Sydney,61
2017,2,jack newnes,St Kilda,61
2017,2,patrick ambrose,Essendon,61
2017,2,kyle langford,Essendon,61
2017,2,isaac smith,Hawthorn,61
2017,2,wayne milera,Adelaide,60
2017,2,nick vlastuin,Richmond,60
2017,2,jackson ramsay,Collingwood,60
2017,2,jackson trengove,Port Adelaide,60
2017,2,justin westhoff,Port Adelaide,60
2017,2,thomas stewart,Geelong,60
2017,2,sam weideman,Melbourne,59
2017,2,mark baguley,Essendon,58
2017,2,luke brown,Adelaide,58
2017,2,bryce gibbs,Carlton,58
2017,2,nathan hrovat,North Melbourne,57
2017,2,daniel rioli,Richmond,57
2017,2,joel hamling,Fremantle,57
2017,2,simon white,Carlton,57
2017,2,levi casboult,Carlton,57
2017,2,kade simpson,Carlton,57
2017,2,jonathon griffin,Fremantle,57
2017,2,andrew mcgrath,Essendon,56
2017,2,zaine cordy,Western Bulldogs,56
2017,2,michael close,Brisbane Lions,56
2017,2,nick smith,Sydney,56
2017,2,james kelly,Essendon,56
2017,2,shane kersten,Fremantle,56
